1802 01 01 -99  -99   -99 -99
1802 01 02 -99  -99   -99 -99
1802 01 03 -99  -99   -99 -99
1802 01 04 -99  -99   -99 -99
1802 01 05 -99  -99   -99 -99
1802 01 06 -99  -99   -99 -99
1802 01 07 -99  -99   -99 -99
1802 01 08 -99  -99   -99 -99
1802 01 09 -99  -99   -99 -99
1802 01 10 -99  -99   -99 -99
1802 01 11 -99  -99   -99 -99
1802 01 12 -99  -99   -99 -99
1802 01 13 -99  -99   -99 -99
1802 01 14 -99  -99   -99 -99
1802 01 15 -99  -99   -99 -99
1802 01 16 -99  -99   -99 -99
1802 01 17 -99  -99   -99 -99
1802 01 18 -99  -99   -99 -99
1802 01 19 -99  -99   -99 -99
1802 01 20 -99  -99   -99 -99
1802 01 21 -99  -99   -99 -99
1802 01 22 -99  -99   -99 -99
1802 01 23 -99  -99   -99 -99
1802 01 24 -99  -99   -99 -99
1802 01 25 -99  -99   -99 -99
1802 01 26 -99  -99   -99 -99
1802 01 27 -99  -99   -99 -99
1802 01 28 -99  -99   -99 -99
1802 01 29 -99  -99   -99 -99
1802 01 30 -99  -99   -99 -99
1802 01 31 -99  -99   -99 -99
1802 02 01 -99  -99   -99 -99
1802 02 02 -99  -99   -99 -99
1802 02 03 -99  -99   -99 -99
1802 02 04 -99  -99   -99 -99
1802 02 05 -99  -99   -99 -99
1802 02 06 -99  -99   -99 -99
1802 02 07 -99  -99   -99 -99
1802 02 08 -99  -99   -99 -99
1802 02 09 -99  -99   -99 -99
1802 02 10 -99  -99   -99 -99
1802 02 11 -99  -99   -99 -99
1802 02 12 -99  -99   -99 -99
1802 02 13 -99  -99   -99 -99
1802 02 14 -99  -99   -99 -99
1802 02 15 -99  -99   -99 -99
1802 02 16 -99  -99   -99 -99
1802 02 17 -99  -99   -99 -99
1802 02 18 -99  -99   -99 -99
1802 02 19 -99  -99   -99 -99
1802 02 20 -99  -99   -99 -99
1802 02 21 -99  -99   -99 -99
1802 02 22 -99  -99   -99 -99
1802 02 23 -99  -99   -99 -99
1802 02 24 -99  -99   -99 -99
1802 02 25 -99  -99   -99 -99
1802 02 26 -99  -99   -99 -99
1802 02 27 -99  -99   -99 -99
1802 02 28 -99  -99   -99 -99
1802 02 29 -99  -99   -99 -99
1802 02 30 -99  -99   -99 -99
1802 02 31 -99  -99   -99 -99
1802 03 01 -99  -99   -99 -99
1802 03 02 -99  -99   -99 -99
1802 03 03 -99  -99   -99 -99
1802 03 04 -99  -99   -99 -99
1802 03 05 -99  -99   -99 -99
1802 03 06 -99  -99   -99 -99
1802 03 07 -99  -99   -99 -99
1802 03 08 -99  -99   -99 -99
1802 03 09 -99  -99   -99 -99
1802 03 10 -99  -99   -99 -99
1802 03 11 -99  -99   -99 -99
