1859 01 01 -99  -99   -99 -99
1859 01 02 -99  -99   -99 -99
1859 01 03 -99  -99   -99 -99
1859 01 04 -99  -99   -99 -99
1859 01 05 -99  -99   -99 -99
1859 01 06 -99  -99   -99 -99
1859 01 07 -99  -99   -99 -99
1859 01 08 -99  -99   -99 -99
1859 01 09 -99  -99   -99 -99
1859 01 10 -99  -99   -99 -99
1859 01 11 -99  -99   -99 -99
1859 01 12 -99  -99   -99 -99
1859 01 13 -99  -99   -99 -99
1859 01 14 -99  -99   -99 -99
1859 01 15 -99  -99   -99 -99
1859 01 16 -99  -99   -99 -99
1859 01 17 -99  -99   -99 -99
1859 01 18 -99  -99   -99 -99
1859 01 19 -99  -99   -99 -99
1859 01 20 -99  -99   -99 -99
1859 01 21 -99  -99   -99 -99
1859 01 22 -99  -99   -99 -99
1859 01 23 -99  -99   -99 -99
1859 01 24 -99  -99   -99 -99
1859 01 25 -99  -99   -99 -99
1859 01 26 -99  -99   -99 -99
1859 01 27 -99  -99   -99 -99
1859 01 28 -99  -99   -99 -99
1859 01 29 -99  -99   -99 -99
1859 01 30 -99  -99   -99 -99
1859 01 31 -99  -99   -99 -99
1859 02 01 -99  -99   -99 -99
1859 02 02 -99  -99   -99 -99
1859 02 03 -99  -99   -99 -99
1859 02 04 -99  -99   -99 -99
1859 02 05 -99  -99   -99 -99
1859 02 06 -99  -99   -99 -99
1859 02 07 -99  -99   -99 -99
1859 02 08 -99  -99   -99 -99
1859 02 09 -99  -99   -99 -99
1859 02 10 -99  -99   -99 -99
1859 02 11 -99  -99   -99 -99
1859 02 12 -99  -99   -99 -99
1859 02 13 -99  -99   -99 -99
1859 02 14 -99  -99   -99 -99
1859 02 15 -99  -99   -99 -99
1859 02 16 -99  -99   -99 -99
1859 02 17 -99  -99   -99 -99
1859 02 18 -99  -99   -99 -99
1859 02 19 -99  -99   -99 -99
1859 02 20 -99  -99   -99 -99
1859 02 21 -99  -99   -99 -99
1859 02 22 -99  -99   -99 -99
1859 02 23 -99  -99   -99 -99
1859 02 24 -99  -99   -99 -99
1859 02 25 -99  -99   -99 -99
1859 02 26 -99  -99   -99 -99
1859 02 27 -99  -99   -99 -99
1859 02 28 -99  -99   -99 -99
1859 02 29 -99  -99   -99 -99
1859 02 30 -99  -99   -99 -99
1859 02 31 -99  -99   -99 -99
1859 03 01 -99  -99   -99 -99
1859 03 02 -99  -99   -99 -99
1859 03 03 -99  -99   -99 -99
1859 03 04 -99  -99   -99 -99
1859 03 05 -99  -99   -99 -99
1859 03 06 -99  -99   -99 -99
1859 03 07 -99  -99   -99 -99
1859 03 08 -99  -99   -99 -99
1859 03 09 -99  -99   -99 -99
1859 03 10 -99  -99   -99 -99
1859 03 11 -99  -99   -99 -99
1859 03 12 -99  -99   -99 -99
1859 03 13 -99  -99   -99 -99
1859 03 14 -99  -99   -99 -99
1859 03 15 -99  -99   -99 -99
1859 03 16 -99  -99   -99 -99
1859 03 17 -99  -99   -99 -99
1859 03 18 -99  -99   -99 -99
1859 03 19 -99  -99   -99 -99
1859 03 20 -99  -99   -99 -99
1859 03 21 -99  -99   -99 -99
1859 03 22 -99  -99   -99 -99
1859 03 23 -99  -99   -99 -99
1859 03 24 -99  -99   -99 -99
1859 03 25 -99  -99   -99 -99
1859 03 26 -99  -99   -99 -99
1859 03 27 -99  -99   -99 -99
1859 03 28 -99  -99   -99 -99
1859 03 29 -99  -99   -99 -99
1859 03 30 -99  -99   -99 -99
1859 03 31 -99  -99   -99 -99
1859 04 01 -99  -99   -99 -99
1859 04 02 -99  -99   -99 -99
1859 04 03 -99  -99   -99 -99
1859 04 04 -99  -99   -99 -99
1859 04 05 -99  -99   -99 -99
1859 04 06 -99  -99   -99 -99
1859 04 07 -99  -99   -99 -99
1859 04 08 -99  -99   -99 -99
1859 04 09 -99  -99   -99 -99
1859 04 10 -99  -99   -99 -99
1859 04 11 -99  -99   -99 -99
1859 04 12 -99  -99   -99 -99
1859 04 13 -99  -99   -99 -99
1859 04 14 -99  -99   -99 -99
1859 04 15 -99  -99   -99 -99
1859 04 16 -99  -99   -99 -99
1859 04 17 -99  -99   -99 -99
1859 04 18 -99  -99   -99 -99
1859 04 19 -99  -99   -99 -99
1859 04 20 -99  -99   -99 -99
1859 04 21 -99  -99   -99 -99
1859 04 22 -99  -99   -99 -99
1859 04 23 -99  -99   -99 -99
1859 04 24 -99  -99   -99 -99
1859 04 25 -99  -99   -99 -99
1859 04 26 -99  -99   -99 -99
1859 04 27 -99  -99   -99 -99
1859 04 28 -99  -99   -99 -99
1859 04 29 -99  -99   -99 -99
1859 04 30 -99  -99   -99 -99
1859 04 31 -99  -99   -99 -99
1859 05 01 -99  -99   -99 -99
1859 05 02 -99  -99   -99 -99
1859 05 03 -99  -99   -99 -99
1859 05 04 -99  -99   -99 -99
1859 05 05 -99  -99   -99 -99
1859 05 06 -99  -99   -99 -99
1859 05 07 -99  -99   -99 -99
1859 05 08 -99  -99   -99 -99
1859 05 09 -99  -99   -99 -99
1859 05 10 -99  -99   -99 -99
1859 05 11 -99  -99   -99 -99
1859 05 12 -99  -99   -99 -99
1859 05 13 -99  -99   -99 -99
1859 05 14 -99  -99   -99 -99
1859 05 15 -99  -99   -99 -99
1859 05 16 -99  -99   -99 -99
1859 05 17 -99  -99   -99 -99
1859 05 18 -99  -99   -99 -99
1859 05 19 -99  -99   -99 -99
1859 05 20 -99  -99   -99 -99
1859 05 21 -99  -99   -99 -99
1859 05 22 -99  -99   -99 -99
1859 05 23 -99  -99   -99 -99
1859 05 24 -99  -99   -99 -99
1859 05 25 -99  -99   -99 -99
1859 05 26 -99  -99   -99 -99
1859 05 27 -99  -99   -99 -99
1859 05 28 -99  -99   -99 -99
1859 05 29 -99  -99   -99 -99
1859 05 30 -99  -99   -99 -99
1859 05 31 -99  -99   -99 -99
1859 06 01 -99  -99   -99 -99
1859 06 02 -99  -99   -99 -99
1859 06 03 -99  -99   -99 -99
1859 06 04 -99  -99   -99 -99
1859 06 05 -99  -99   -99 -99
1859 06 06 -99  -99   -99 -99
1859 06 07 -99  -99   -99 -99
1859 06 08 -99  -99   -99 -99
1859 06 09 -99  -99   -99 -99
1859 06 10 -99  -99   -99 -99
1859 06 11 -99  -99   -99 -99
1859 06 12 -99  -99   -99 -99
1859 06 13 -99  -99   -99 -99
1859 06 14 -99  -99   -99 -99
1859 06 15 -99  -99   -99 -99
1859 06 16 -99  -99   -99 -99
1859 06 17 -99  -99   -99 -99
1859 06 18 -99  -99   -99 -99
1859 06 19 -99  -99   -99 -99
1859 06 20 -99  -99   -99 -99
1859 06 21 -99  -99   -99 -99
1859 06 22 -99  -99   -99 -99
1859 06 23 -99  -99   -99 -99
1859 06 24 -99  -99   -99 -99
1859 06 25 -99  -99   -99 -99
1859 06 26 -99  -99   -99 -99
1859 06 27 -99  -99   -99 -99
1859 06 28 -99  -99   -99 -99
1859 06 29 -99  -99   -99 -99
1859 06 30 -99  -99   -99 -99
1859 06 31 -99  -99   -99 -99
1859 07 01 -99  -99   -99 -99
1859 07 02 -99  -99   -99 -99
1859 07 03 -99  -99   -99 -99
1859 07 04 -99  -99   -99 -99
1859 07 05 -99  -99   -99 -99
1859 07 06 -99  -99   -99 -99
1859 07 07 -99  -99   -99 -99
1859 07 08 -99  -99   -99 -99
1859 07 09 -99  -99   -99 -99
1859 07 10 -99  -99   -99 -99
1859 07 11 -99  -99   -99 -99
1859 07 12 -99  -99   -99 -99
1859 07 13 -99  -99   -99 -99
1859 07 14 -99  -99   -99 -99
1859 07 15 -99  -99   -99 -99
1859 07 16 -99  -99   -99 -99
1859 07 17 -99  -99   -99 -99
1859 07 18 -99  -99   -99 -99
1859 07 19 -99  -99   -99 -99
1859 07 20 -99  -99   -99 -99
1859 07 21 -99  -99   -99 -99
1859 07 22 -99  -99   -99 -99
1859 07 23 -99  -99   -99 -99
1859 07 24 -99  -99   -99 -99
1859 07 25 -99  -99   -99 -99
1859 07 26 -99  -99   -99 -99
1859 07 27 -99  -99   -99 -99
1859 07 28 -99  -99   -99 -99
1859 07 29 -99  -99   -99 -99
1859 07 30 -99  -99   -99 -99
1859 07 31 -99  -99   -99 -99
1859 08 01 -99  -99   -99 -99
1859 08 02 -99  -99   -99 -99
1859 08 03 -99  -99   -99 -99
1859 08 04 -99  -99   -99 -99
1859 08 05 -99  -99   -99 -99
1859 08 06 -99  -99   -99 -99
1859 08 07 -99  -99   -99 -99
1859 08 08 -99  -99   -99 -99
1859 08 09 -99  -99   -99 -99
1859 08 10 -99  -99   -99 -99
1859 08 11 -99  -99   -99 -99
1859 08 12 -99  -99   -99 -99
1859 08 13 -99  -99   -99 -99
